Agent,Avg Queue Length,Avg Waiting Time (s),Throughput,Avg Delay (s),Avg Reward
Fixed-Time,14.219444444444443,6.788793408319898,188.0,8.91691773886147,-1821.6999999999998
Q-Learning,11.713888888888889,4.4666589491549935,191.0,6.717950844433886,-1636.6000000000015
Double Q-Learning,11.111111111111109,4.566069637103088,200.0,6.8057339616705335,-1427.4999999999993
DQN,12.448148148148148,5.078664178132729,190.66666666666666,7.286698557464578,-1720.8999999999994
A2C,11.4,4.530989010842714,175.33333333333334,6.833974661892565,-1540.6999999999998
PPO,12.03888888888889,5.05118639262155,184.0,7.298482182878682,-1625.2
TRPO,11.181481481481482,4.25524173712471,182.0,6.5488261354193185,-1571.0999999999997
